"date","newCases","city"
2021-08-04,212,"Stockholm"
2021-08-05,234,"Stockholm"
2021-08-06,243,"Stockholm"
2021-08-07,243,"Stockholm"
2021-08-08,243,"Stockholm"
2021-08-09,243,"Stockholm"
2021-08-10,261,"Stockholm"
2021-08-11,277,"Stockholm"
2021-08-12,280,"Stockholm"
2021-08-13,290,"Stockholm"
2021-08-14,290,"Stockholm"
2021-08-15,290,"Stockholm"
2021-08-16,290,"Stockholm"
2021-08-17,311,"Stockholm"
2021-08-18,311,"Stockholm"
2021-08-19,311,"Stockholm"
2021-08-20,307,"Stockholm"
2021-08-21,307,"Stockholm"
2021-08-22,307,"Stockholm"
2021-08-23,307,"Stockholm"
2021-08-24,281,"Stockholm"
2021-08-25,265,"Stockholm"
2021-08-26,273,"Stockholm"
2021-08-27,270,"Stockholm"
2021-08-28,270,"Stockholm"
2021-08-29,270,"Stockholm"
2021-08-30,270,"Stockholm"
2021-08-31,307,"Stockholm"
2021-09-01,313,"Stockholm"
2021-09-02,303,"Stockholm"
2021-09-03,307,"Stockholm"
2021-09-04,307,"Stockholm"
2021-09-05,307,"Stockholm"
2021-09-06,307,"Stockholm"
2021-09-07,305,"Stockholm"
2021-09-08,307,"Stockholm"
2021-09-09,306,"Stockholm"
2021-09-10,303,"Stockholm"
2021-09-11,303,"Stockholm"
2021-09-12,303,"Stockholm"
2021-09-13,303,"Stockholm"
2021-09-14,282,"Stockholm"
2021-09-15,271,"Stockholm"
2021-09-16,278,"Stockholm"
2021-09-17,262,"Stockholm"
2021-09-18,262,"Stockholm"
2021-09-19,262,"Stockholm"
2021-09-20,262,"Stockholm"
2021-09-21,210,"Stockholm"
2021-09-22,208,"Stockholm"
2021-09-23,186,"Stockholm"
2021-09-24,182,"Stockholm"
2021-09-25,182,"Stockholm"
2021-09-26,182,"Stockholm"
2021-09-27,182,"Stockholm"
2021-09-28,182,"Stockholm"
2021-09-29,184,"Stockholm"
2021-09-30,187,"Stockholm"
2021-10-01,191,"Stockholm"
2021-10-02,191,"Stockholm"
2021-10-03,191,"Stockholm"
2021-10-04,191,"Stockholm"
2021-10-05,195,"Stockholm"
2021-10-06,187,"Stockholm"
2021-10-07,189,"Stockholm"
2021-10-08,186,"Stockholm"
2021-10-09,186,"Stockholm"
2021-10-10,186,"Stockholm"
2021-10-11,186,"Stockholm"
2021-10-12,175,"Stockholm"
2021-10-13,177,"Stockholm"
2021-10-14,176,"Stockholm"
2021-10-15,175,"Stockholm"
2021-10-16,175,"Stockholm"
2021-10-17,175,"Stockholm"
2021-10-18,175,"Stockholm"
2021-10-19,164,"Stockholm"
2021-10-20,157,"Stockholm"
2021-10-21,155,"Stockholm"
2021-10-22,163,"Stockholm"
2021-10-23,163,"Stockholm"
2021-10-24,163,"Stockholm"
2021-10-25,163,"Stockholm"
2021-10-26,194,"Stockholm"
2021-10-27,208,"Stockholm"
2021-10-28,196,"Stockholm"
2021-10-29,210,"Stockholm"
2021-10-30,210,"Stockholm"
2021-10-31,210,"Stockholm"
2021-11-01,210,"Stockholm"
2021-11-02,231,"Stockholm"
2021-11-03,224,"Stockholm"
2021-11-04,239,"Stockholm"
2021-11-05,221,"Stockholm"
2021-11-06,221,"Stockholm"
2021-11-07,221,"Stockholm"
2021-11-08,221,"Stockholm"
2021-11-09,176,"Stockholm"
2021-11-10,185,"Stockholm"
2021-11-11,190,"Stockholm"
2021-11-12,186,"Stockholm"
2021-11-13,186,"Stockholm"
2021-11-14,186,"Stockholm"
2021-11-15,186,"Stockholm"
2021-11-16,222,"Stockholm"
2021-11-17,212,"Stockholm"
2021-11-18,225,"Stockholm"
2021-11-19,238,"Stockholm"
2021-11-20,238,"Stockholm"
2021-11-21,238,"Stockholm"
2021-11-22,238,"Stockholm"
2021-11-23,276,"Stockholm"
2021-11-24,325,"Stockholm"
2021-11-25,343,"Stockholm"
2021-11-26,375,"Stockholm"
2021-11-27,375,"Stockholm"
2021-11-28,375,"Stockholm"
2021-11-29,375,"Stockholm"
2021-11-30,493,"Stockholm"
2021-12-01,495,"Stockholm"
2021-12-02,501,"Stockholm"
2021-12-03,486,"Stockholm"
2021-12-04,486,"Stockholm"
2021-12-05,486,"Stockholm"
2021-12-06,486,"Stockholm"
2021-12-07,542,"Stockholm"
2021-12-08,581,"Stockholm"
2021-12-09,608,"Stockholm"
2021-12-10,639,"Stockholm"
2021-12-11,639,"Stockholm"
2021-12-12,639,"Stockholm"
2021-12-13,639,"Stockholm"
2021-12-14,731,"Stockholm"
2021-12-15,763,"Stockholm"
2021-12-16,823,"Stockholm"
2021-12-17,881,"Stockholm"
2021-12-18,881,"Stockholm"
2021-12-19,881,"Stockholm"
2021-12-20,881,"Stockholm"
2021-12-21,1078,"Stockholm"
2021-12-22,1089,"Stockholm"
2021-12-23,1171,"Stockholm"
2021-12-24,1024,"Stockholm"
2021-12-25,1024,"Stockholm"
2021-12-26,1024,"Stockholm"
2021-12-27,1024,"Stockholm"
2021-12-28,1378,"Stockholm"
2021-12-29,1534,"Stockholm"
2021-12-30,1718,"Stockholm"
2021-12-31,1718,"Stockholm"
2022-01-01,1718,"Stockholm"
2022-01-02,1718,"Stockholm"
2022-01-03,1718,"Stockholm"
2022-01-04,2746,"Stockholm"
2022-01-05,3091,"Stockholm"
2022-01-06,2662,"Stockholm"
2022-01-07,4479,"Stockholm"
2022-01-08,4479,"Stockholm"
2022-01-09,4479,"Stockholm"
2022-01-10,4479,"Stockholm"
2022-01-11,5213,"Stockholm"
2022-01-12,5184,"Stockholm"
